"drg","drgnum","drgweight","drgsys","drgvers","glos","trim","low","alos","fydate","fyear"
"502",502,1.1277,"MS-DRG",31,2.40000009536743,0,,2.90000009536743,10/1/2013,2014
"503",503,2.2584,"MS-DRG",31,6.30000019073486,0,,7.80000019073486,10/1/2013,2014
"504",504,1.6133,"MS-DRG",31,4.90000009536743,0,,5.90000009536743,10/1/2013,2014
"505",505,1.2072,"MS-DRG",31,2.70000004768372,0,,3.29999995231628,10/1/2013,2014
"506",506,1.2041,"MS-DRG",31,2.90000009536743,0,,3.79999995231628,10/1/2013,2014
"507",507,1.9667,"MS-DRG",31,4.09999990463257,0,,5.59999990463257,10/1/2013,2014
"508",508,1.319,"MS-DRG",31,2,0,,2.40000009536743,10/1/2013,2014
"509",509,1.3245,"MS-DRG",31,2.70000004768372,0,,3.5,10/1/2013,2014
"510",510,2.2717,"MS-DRG",31,4.80000019073486,0,,6,10/1/2013,2014
"511",511,1.5894,"MS-DRG",31,3.20000004768372,0,,3.79999995231628,10/1/2013,2014
"512",512,1.2266,"MS-DRG",31,2,0,,2.29999995231628,10/1/2013,2014
"513",513,1.4122,"MS-DRG",31,3.70000004768372,0,,4.90000009536743,10/1/2013,2014
"514",514,0.8781,"MS-DRG",31,2.20000004768372,0,,2.70000004768372,10/1/2013,2014
"515",515,3.334,"MS-DRG",31,7.5,0,,9.60000038146973,10/1/2013,2014
"516",516,2.016,"MS-DRG",31,4.5,0,,5.5,10/1/2013,2014
"517",517,1.6777,"MS-DRG",31,2.79999995231628,0,,3.40000009536743,10/1/2013,2014
"518",518,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"519",519,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"520",520,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"521",521,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"522",522,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"523",523,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"524",524,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"525",525,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"526",526,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"527",527,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"528",528,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"529",529,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"530",530,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"531",531,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"532",532,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"533",533,1.3759,"MS-DRG",31,4.30000019073486,0,,5.59999990463257,10/1/2013,2014
"534",534,0.7364,"MS-DRG",31,2.90000009536743,0,,3.59999990463257,10/1/2013,2014
"535",535,1.3085,"MS-DRG",31,4.19999980926514,0,,5.40000009536743,10/1/2013,2014
"536",536,0.7091,"MS-DRG",31,3,0,,3.5,10/1/2013,2014
"537",537,0.8604,"MS-DRG",31,3.40000009536743,0,,4,10/1/2013,2014
"538",538,0.687,"MS-DRG",31,2.40000009536743,0,,2.79999995231628,10/1/2013,2014
"539",539,1.8631,"MS-DRG",31,6.19999980926514,0,,8.10000038146973,10/1/2013,2014
"540",540,1.3063,"MS-DRG",31,4.90000009536743,0,,6.09999990463257,10/1/2013,2014
"541",541,0.9743,"MS-DRG",31,3.59999990463257,0,,4.69999980926514,10/1/2013,2014
"542",542,1.9451,"MS-DRG",31,6,0,,7.90000009536743,10/1/2013,2014
"543",543,1.1267,"MS-DRG",31,4.19999980926514,0,,5.19999980926514,10/1/2013,2014
"544",544,0.7736,"MS-DRG",31,3.20000004768372,0,,3.70000004768372,10/1/2013,2014
"545",545,2.4445,"MS-DRG",31,6,0,,8.5,10/1/2013,2014
"546",546,1.1711,"MS-DRG",31,4,0,,5,10/1/2013,2014
"547",547,0.8061,"MS-DRG",31,2.90000009536743,0,,3.59999990463257,10/1/2013,2014
"548",548,1.7811,"MS-DRG",31,5.90000009536743,0,,7.59999990463257,10/1/2013,2014
"549",549,1.1101,"MS-DRG",31,4.30000019073486,0,,5.19999980926514,10/1/2013,2014
"550",550,0.8149,"MS-DRG",31,3.09999990463257,0,,3.79999995231628,10/1/2013,2014
"551",551,1.6317,"MS-DRG",31,5,0,,6.40000009536743,10/1/2013,2014
"552",552,0.8467,"MS-DRG",31,3.20000004768372,0,,3.90000009536743,10/1/2013,2014
"553",553,1.237,"MS-DRG",31,4.40000009536743,0,,5.59999990463257,10/1/2013,2014
"554",554,0.7181,"MS-DRG",31,2.90000009536743,0,,3.59999990463257,10/1/2013,2014
"555",555,1.1974,"MS-DRG",31,3.70000004768372,0,,5,10/1/2013,2014
"556",556,0.7066,"MS-DRG",31,2.59999990463257,0,,3.20000004768372,10/1/2013,2014
"557",557,1.4756,"MS-DRG",31,5.09999990463257,0,,6.40000009536743,10/1/2013,2014
"558",558,0.8337,"MS-DRG",31,3.40000009536743,0,,4,10/1/2013,2014
"559",559,1.8639,"MS-DRG",31,5,0,,6.90000009536743,10/1/2013,2014
"560",560,1.026,"MS-DRG",31,3.40000009536743,0,,4.40000009536743,10/1/2013,2014
"561",561,0.6408,"MS-DRG",31,2,0,,2.5,10/1/2013,2014
"562",562,1.3528,"MS-DRG",31,4.40000009536743,0,,5.5,10/1/2013,2014
"563",563,0.7535,"MS-DRG",31,3,0,,3.5,10/1/2013,2014
"564",564,1.4855,"MS-DRG",31,4.5,0,,6.09999990463257,10/1/2013,2014
"565",565,0.9281,"MS-DRG",31,3.59999990463257,0,,4.40000009536743,10/1/2013,2014
"566",566,0.6642,"MS-DRG",31,2.59999990463257,0,,3.29999995231628,10/1/2013,2014
"567",567,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
